OMNH Item #,Specimen ID,Sample ID,Weight (µg),Date sampled,Taxon,Element type,samp_type,Tissue,Ag3PO4_Wt (ug),CO_Yield,d18O (VSMOW)
60378,60378-a,60378-a.1,563.5,1/21/22,Glyptops sp.,osteoscute fragment,bulk,bone,202.4,0.359183673,14.84541451
60386,60386-a,60386-a.2,574,1/22/22,Glyptops sp.,osteoscute fragment,bulk,bone,,0,12.76557415
60386,60386-b,60386-b.1,470.7,1/22/22,Glyptops sp.,osteoscute fragment,bulk,bone,285.7,0.606968345,13.12658347
60444,60444-a,60444-a.1,591.1,9/1/22,Glyptops sp.,osteoscute fragment,bulk,enamel,462,0.781593639,14.16793479
60447,60447-a,60447-a.1,375.2,1/24/22,Glyptops sp.,osteoscute fragment,bulk,enamel,291.3,0.776385928,14.42850063
61401,61401-a,61401-a.3,489,1/21/22,Glyptops sp.,osteoscute fragment,bulk,bone,,0,11.14313235
61402,61402-a,61402-a.1,503.4,1/22/22,Glyptops sp.,osteoscute fragment,bulk,bone,223.9,0.444775526,15.12359459
61402,61402-a,61402-a.2,584.6,1/22/22,Glyptops sp.,osteoscute fragment,bulk,bone,320.7,0.548580226,17.12832694
61224,61224-a,61224-a.2,520.6,9/1/22,Neosuchian A,tooth,bulk,enamel,355.5,0.682865924,15.33293958
61224,61224-b,61224-b.2,347.6,9/1/22,Neosuchian A,tooth,bulk,enamel,,0,15.09904066
61283,61283-a,61283-a.1,371.2,4/12/22,Neosuchian A,tooth,bulk,enamel,433.3,1.167295259,17.24106161
61283,61283-b,61283-b.1,391.3,4/12/22,Neosuchian A,tooth,bulk,enamel,360.5,0.921288014,16.86220959
61284,61284-a,61284-a.1,497.8,3/5/22,Neosuchian A,tooth,bulk,enamel,599,1.203294496,15.58637508
61286,61286-a,61286-a.1,456.4,3/5/22,Neosuchian A,tooth,bulk,enamel,633,1.38694128,16.92962087
61286,61286-b,61286-b.1,562.4,3/5/22,Neosuchian A,tooth,bulk,enamel,775.6,1.379089616,18.3246319
61286,61286-c,61286-c.1,442.6,3/5/22,Neosuchian A,tooth,bulk,enamel,506.9,1.145277903,15.45987402
61286,61286-c,61286-c.2,451.6,3/5/22,Neosuchian A,tooth,bulk,enamel,601.3,1.331488043,15.521515
61286,61286-d,61286-d.1,543.3,3/5/22,Neosuchian A,tooth,bulk,enamel,732.2,1.347690042,23.14423417
UNCAT002,UNCAT002-a,UNCAT002-a.1,475.5,9/3/22,Neosuchian A,tooth,bulk,enamel,,0,16.16911066
UNCAT003,UNCAT003-a,UNCAT003-a.1,366.8,9/3/22,Neosuchian A,tooth,bulk,enamel,,0,17.96348348
61289,61289-a,61289-a.1,342.5,2/16/22,Neosuchian B,tooth,bulk,enamel,430,1.255474453,14.93984365
61289,61289-b,61289-b.1,398.7,2/16/22,Neosuchian B,tooth,bulk,enamel,326.6,0.819162277,16.43437907
61289,61289-c,61289-c.1,499.8,2/16/22,Neosuchian B,tooth,bulk,enamel,545.3,1.091036415,18.13089755
61289,61289-d,61289-d.1,466.5,2/17/22,Neosuchian B,tooth,bulk,enamel,596.8,1.279314041,18.59894675
61289,61289-e,61289-e.1,557.9,2/16/22,Neosuchian B,tooth,bulk,enamel,654.2,1.172611579,18.2587364
61289,61289-f,61289-f.1b,564.1,2/16/22,Neosuchian B,tooth,bulk,enamel,558.6,0.990249956,16.38939855
61289,61289-g,61289-g.1,365.5,2/17/22,Neosuchian B,tooth,bulk,enamel,206,0.563611491,13.13811675
61289,61289-h,61289-h.1,402.7,2/17/22,Neosuchian B,tooth,bulk,enamel,418.3,1.038738515,19.19894981
61289,61289-i,61289-i.1,501.7,2/16/22,Neosuchian B,tooth,bulk,enamel,290.7,0.579429938,16.87756027
61289,61289-j,61289-j.1,545,2/16/22,Neosuchian B,tooth,bulk,enamel,657.2,1.20587156,14.96614076
61327,61327-a,61327-a.1,459.9,9/3/22,Neosuchian B,tooth,bulk,enamel,404.5,0.87953903,15.48203693
60433,60433-a,60433-a.1,574,2/8/22,Neosuchian G,tooth,bulk,enamel,709.9,1.236759582,17.40248992
60433,60433-b,60433-b.1,505.7,2/8/22,Neosuchian G,tooth,bulk,enamel,681.3,1.347241447,12.82166679
60433,60433-c,60433-c.1,410.7,2/8/22,Neosuchian G,tooth,bulk,enamel,607.6,1.479425371,13.22586145
60433,60433-e,60433-e.1,539.8,2/8/22,Neosuchian G,tooth,bulk,enamel,788,1.459799926,10.26975838
60433,60433-f,60433-f.1,567.5,2/8/22,Neosuchian G,tooth,bulk,enamel,694,1.222907489,9.753627578
60433,60433-g,60433-g.1,513.6,2/8/22,Neosuchian G,tooth,bulk,enamel,555.1,1.080802181,13.38731078
60442,60442-a,60442-a.1,510.2,2/6/22,Neosuchian G,tooth,serial,enamel,355.2,0.69619757,13.02709329
