OMNH Item,Specimen,SAMPLE ID,sample,site,Taxa,δ18Op,δ18Op-r,±1σ
OMNH 26251,OMNH 26251a,OMNH 26251a1,a1,MM,Ornithischia,17,,0.1
OMNH 26251,OMNH 26251a,OMNH 26251a2,a2,MM,Ornithischia,17.2,,0.1
OMNH 26251,OMNH 26251b,OMNH 26251b1,b1,MM,Ornithischia,17.5,,0.1
OMNH 26251,OMNH 26251b,OMNH 26251b2,b2,MM,Ornithischia,18.6,,0.1
OMNH 26251,OMNH 26251e,OMNH 26251e,e,MM,Ornithischia,15.6,,0.2
OMNH 26251,OMNH 26251f,OMNH 26251f,f,MM,Ornithischia,15.5,,0.2
OMNH 26251,OMNH 26251g,OMNH 26251g1,g1,MM,Ornithischia,15.5,,0.2
OMNH 26251,OMNH 26251g,OMNH 26251g2,g2,MM,Ornithischia,17,,0.2
OMNH 26195,OMNH 26195a,OMNH 26195a4,a4,MM,Theropoda,15.6,,0.2
OMNH 26195,OMNH 26195b,OMNH 26195b1,b1,MM,Theropoda,19.8,,0.1
OMNH 26195,OMNH 26195b,OMNH 26195b2,b2,MM,Theropoda,20,,0.1
OMNH 26195,OMNH 26195b,OMNH 26195b3,b3,MM,Theropoda,19.9,,0.1
OMNH 26195,OMNH 26195b,OMNH 26195b4,b4,MM,Theropoda,19.4,,0.1
OMNH 26195,OMNH 26195b,OMNH 26195b4_dup,b4_dup,MM,Theropoda,18.9,,0.2
OMNH 26195,OMNH 26195b,OMNH 26195b5,b5,MM,Theropoda,19.7,,0.2
OMNH 26195,OMNH 26195c,OMNH 26195c1,c1,MM,Theropoda,16.5,,0.1
OMNH 26195,OMNH 26195c,OMNH 26195c2,c2,MM,Theropoda,16,,0.1
OMNH 26195,OMNH 26195d,OMNH 26195d,d,MM,Theropoda,17.5,,0.1
OMNH 27198,OMNH 27198a,OMNH 27198a1,a1,MM,Chelonia,15.3,14.9,0.1
OMNH 27198,OMNH 27198a,OMNH 27198a2,a2,MM,Chelonia,14.3,15.5,0.1
OMNH 27198,OMNH 27198a,OMNH 27198a3,a3,MM,Chelonia,16.6,,0.1
OMNH 27198,OMNH 27198a,OMNH 27198a4,a4,MM,Chelonia,16.1,,0.6
OMNH 27198,OMNH 27198a,OMNH 27198a5,a5,MM,Chelonia,15.3,,0.1
OMNH 27198,OMNH 27198a,OMNH 27198a6,a6,MM,Chelonia,14.7,,0.1
OMNH 27198,OMNH 27198a,OMNH 27198a7,a7,MM,Chelonia,16.2,,0.1
OMNH 27198,OMNH 27198a,OMNH 27198a8,a8,MM,Chelonia,16.4,,0.1
