Specimen.ID,OMNH.Item..,Taxon,Habitat,Eva_.Sens,eco_type,Element.type,samp_type,d18O..VSMOW.,d18O,n,SD,SE
60391-a,60391,Allosauroid,terrestrial,ES,Large Theropod,tooth fragment,serial,15.09799283,14.72616354,4,0.327206603,0.163603301
60378-a,60378,Glyptops sp.,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,14.84541451,14.84541451,1,NA,NA
60386-a,60386,Glyptops sp.,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,12.76557415,12.76557415,1,NA,NA
60386-b,60386,Glyptops sp.,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,13.12658347,13.12658347,1,NA,NA
60444-a,60444,Glyptops sp.,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,14.16793479,14.16793479,1,NA,NA
60447-a,60447,Glyptops sp.,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,14.42850063,14.42850063,1,NA,NA
61401-a,61401,Glyptops sp.,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,11.14313235,11.14313235,1,NA,NA
61402-a,61402,Glyptops sp.,semi-aquatic,EI,Aquatic Turtle,osteoscute fragment,,15.12359459,16.12596077,2,1.417559839,1.002366175
80859-a,80859,Hybodonts,aquatic,,Shark,,,10.8,10.8,1,NA,NA
80859-b,80859,Hybodonts,aquatic,,Shark,,,15.27,15.27,1,NA,NA
80859-c,80859,Hybodonts,aquatic,,Shark,,,9.77,9.77,1,NA,NA
27858-c,27858,Lepisosteids,aquatic,EI,Fish,tooth,bulk,13.25065404,13.25065404,1,NA,NA
27858-d,27858,Lepisosteids,aquatic,EI,Fish,tooth,bulk,15.55814106,15.55814106,1,NA,NA
27858-f,27858,Lepisosteids,aquatic,EI,Fish,tooth,bulk,12.10134695,12.10134695,1,NA,NA
27858-h,27858,Lepisosteids,aquatic,EI,Fish,tooth,bulk,14.12119185,14.12119185,1,NA,NA
27873-a,27873,Lepisosteids,aquatic,EI,Fish,ganoid scale,bulk,14.47,14.75333333,3,0.270985854,0.156453756
27873-b,27873,Lepisosteids,aquatic,EI,Fish,ganoid scale,bulk,14.93,13.77,3,3.201687055,1.848494883
27873-c,27873,Lepisosteids,aquatic,EI,Fish,ganoid scale,bulk,12.99,12.99,1,NA,NA
27873-d,27873,Lepisosteids,aquatic,EI,Fish,ganoid scale,bulk,15.57,15.57,1,NA,NA
27873-e,27873,Lepisosteids,aquatic,EI,Fish,ganoid scale,bulk,15.12,15.42,2,0.424264069,0.3
27873-j,27873,Lepisosteids,aquatic,EI,Fish,ganoid scale,bulk,15.65,15.65,1,NA,NA
61221-a,61221,Lepisosteids,aquatic,EI,Fish,ganoid scale,bulk,14.21929209,14.21929209,1,NA,NA
61221-b,61221,Lepisosteids,aquatic,EI,Fish,ganoid scale,bulk,12.60158682,12.60158682,1,NA,NA
61221-c,61221,Lepisosteids,aquatic,EI,Fish,ganoid scale,bulk,14.76139967,14.76139967,1,NA,NA
61221-e,61221,Lepisosteids,aquatic,EI,Fish,ganoid scale,bulk,14.87163958,14.87163958,1,NA,NA
61573-a,61573,Lepisosteids,aquatic,EI,Fish,tooth,bulk,13.99884977,13.99884977,1,NA,NA
61573-b,61573,Lepisosteids,aquatic,EI,Fish,tooth,bulk,11.52110142,11.52110142,1,NA,NA
61573-c,61573,Lepisosteids,aquatic,,Fish,tooth,bulk,9.468175898,9.468175898,1,NA,NA
60406-a,60406,Maniraptorans,terrestrial,ES,Small Theropod,tooth,,14.22288194,14.22288194,1,NA,NA
60406-b,60406,Maniraptorans,terrestrial,ES,Small Theropod,tooth,,17.55405804,17.55405804,1,NA,NA
60406-c,60406,Maniraptorans,terrestrial,ES,Small Theropod,tooth,,13.71248653,13.71248653,1,NA,NA
60406-e,60406,Maniraptorans,terrestrial,ES,Small Theropod,tooth,,23.22319825,23.22319825,1,NA,NA
61348-a,61348,Maniraptorans,terrestrial,,Small Theropod,tooth,,13.65553388,13.65553388,1,NA,NA
61351-a,61351,Maniraptorans,terrestrial,ES,Small Theropod,tooth,,12.72700545,12.72700545,1,NA,NA
