"Specimen.ID","eco_type","d18O"
"27873-a","Fish",14.7533333333333
"27873-b","Fish",13.77
"27873-c","Fish",12.99
"27873-d","Fish",15.57
"27873-e","Fish",15.42
"27873-j","Fish",15.65
"60378-a","Aquatic Turtle",14.84541451
"60386-a","Aquatic Turtle",12.76557415
"60386-b","Aquatic Turtle",13.12658347
"60433-a","Croc G",17.40248992
"60433-b","Croc G",12.82166679
"60433-c","Croc G",13.22586145
"60433-e","Croc G",10.26975838
"60433-f","Croc G",9.753627578
"60433-g","Croc G",13.38731078
"60442-a","Croc G",13.046698835
"60444-a","Aquatic Turtle",14.16793479
"60447-a","Aquatic Turtle",14.42850063
"61221-a","Fish",14.21929209
"61221-b","Fish",12.60158682
"61221-c","Fish",14.76139967
"61221-e","Fish",14.87163958
"61309-a","Croc G",17.24457823
"61309-b","Croc G",17.11409049
"61399-a","Croc G",17.61436836
"61399-b","Croc G",10.97414118
"61401-a","Aquatic Turtle",11.14313235
"61402-a","Aquatic Turtle",16.125960765
