"Serial.."	"OMNH.Item.."	"Specimen.ID"	"Sample.ID"	"Weight..µg."	"Date.sampled"	"Notes"	"Link.to.image"	"Taxon"	"thermophysiology"	"Eva_.Sens"	"Eco"	"Element.type"	"samp_type"	"Tissue"	"Xtal.Wt..ug."	"Yield"	"X..elements.in.sample"	"Glue."	"Analysis"	"Batch.."	"Crown.Ht..mm."	"Identifier.1"	"Amount"	"Ampl.28..mV."	"Area.28..Vs."	"X.O"	"d18O..VSMOW."
NA	"27873"	"27873-a"	"27873-a.1"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-a.1"	0.205	1331	18.208	16.28	14.47
NA	"27873"	"27873-a"	"27873-a.2"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-a.2"	0.321	2085	27.877	14.98	14.78
NA	"27873"	"27873-a"	"27873-a.3"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-a.3"	0.392	2630	35.354	15.3	15.01
NA	"27873"	"27873-b"	"27873-b.1"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-b.1"	0.289	1977	26.406	15.88	14.93
NA	"27873"	"27873-b"	"27873-b.2"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-b.2"	0.265	2227	28.453	18.64	16.23
NA	"27873"	"27873-b"	"27873-b.3"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-b.3"	0.341	2090	28.271	14.4	10.15
NA	"27873"	"27873-c"	"27873-c.1"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-c.1"	0.187	1339	17.751	17.65	12.99
NA	"27873"	"27873-d"	"27873-d.1"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-d.1"	0.156	1011	13.78	17.11	15.57
NA	"27873"	"27873-e"	"27873-e.1"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-e.1"	0.234	1769	22.737	17.24	15.12
NA	"27873"	"27873-e"	"27873-e.3"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-e.3"	0.223	1301	17.32	14.43	15.72
NA	"27873"	"27873-j"	"27873-j.1"	NA	"4/5/23"	""	NA	"Lepisosteidae"	"ectotherm"	"EI"	"Fish"	"ganoid scale"	"bulk"	"ganoine"	NA	NA	NA	NA	NA	NA	NA	"27873-j.1"	0.167	1179	15.798	17.92	15.65
6	"60378"	"60378-a"	"60378-a.1"	563.5	"1/21/22"	""	NA	"Glyptops sp."	"ectotherm"	"EI"	"Aquatic Turtle"	"osteoscute fragment"	""	"bone"	202.4	0.359183673	NA	NA	1	1.2	NA	"60378-a1"	0.2024	1458	17.044	16.1002796	14.84541451
24	"60379"	"60379-a"	"60379-a.1"	511.5	"1/26/22"	""	NA	"Naomichelys sp."	"ectotherm"	"ES"	"Terrestrial Turtle"	"osteoscute fragment"	""	"bone"	348.6	0.681524927	NA	NA	1	1.2	NA	"60379-a1"	0.3486	2479	29.507	15.91656146	13.29354208
27	"60379"	"60379-b"	"60379-b.1"	534.5	"2/3/22"	"Dropped boat on floor while air-cleaning it. "	NA	"Naomichelys sp."	"ectotherm"	"ES"	"Terrestrial Turtle"	"osteoscute fragment"	""	"bone"	371.1	0.694293732	NA	NA	1	1.2	NA	"60379-b1"	0.3711	2513	31.516	15.67930696	13.77083135
135	"60379"	"60379-c"	"60379-c.2"	573.2	"9/1/22"	"Attempted removal of diagenetic calcite near sampling site via metal pick. "	NA	"Naomichelys sp."	"ectotherm"	"ES"	"Terrestrial Turtle"	"osteoscute fragment"	""	"bone"	595.5	1.038904396	NA	NA	2	2.1	NA	"60379-c2"	0.5955	3883	49.117	14.91621005	14.06762098
136	"60379"	"60379-d"	"60379-d.1"	493.8	"9/1/22"	"Sampled too deep into surface on first attempt, encountered voids with macrocrystalline calcite. Disposed of that sample, cleaned, and the re-sampled at nearby site."	NA	"Naomichelys sp."	"ectotherm"	"ES"	"Terrestrial Turtle"	"osteoscute fragment"	""	"bone"	512	1.036857027	NA	NA	2	2.1	NA	"60379-d1"	0.512	3563	44.05	15.62210166	15.02865964
138	"60379"	"60379-e"	"60379-e.1"	434.6	"9/1/22"	"Very minor amount of diagenetic calcite included. "	NA	"Naomichelys sp."	"ectotherm"	"ES"	"Terrestrial Turtle"	"osteoscute fragment"	""	"bone"	290.3	0.667970548	NA	NA	2	2.1	NA	"60379-e1"	0.2903	1962	23.309	15.74039986	14.1069935
149	"60379"	"60379-h"	"60379-h.1"	425.9	"9/2/22"	"Should be clean sample. "	NA	"Naomichelys sp."	"ectotherm"	"ES"	"Terrestrial Turtle"	"osteoscute fragment"	""	"bone"	NA	0	NA	NA	2	2.1	NA	"60379-h1"	0.3869	2480	30.688	14.99998746	14.30036154
31	"60379"	"60379-i"	"60379-i.2"	447.7	"2/3/22"	""	NA	"Naomichelys sp."	"ectotherm"	"ES"	"Terrestrial Turtle"	"osteoscute fragment"	""	"bone"	222.4	0.496761224	NA	NA	2	2.1	NA	"60379-i2"	0.2224	1296	15.578	14.79879056	14.15635209
21	"60379"	"60379-j"	"60379-j.1"	427.8	"1/24/22"	""	NA	"Naomichelys sp."	"ectotherm"	"ES"	"Terrestrial Turtle"	"osteoscute fragment"	""	"bone"	365.3	0.853903693	NA	NA	1	1.2	NA	"60379-j1"	0.3653	2447	30.799	15.56693934	14.81588951
139	"60379"	"60379-m"	"60379-m.1"	577.5	"9/1/22"	""	NA	"Naomichelys sp."	"ectotherm"	"ES"	"Terrestrial Turtle"	"osteoscute fragment"	""	"bone"	NA	0	NA	NA	2	2.1	NA	"60379-m1"	0.3143	2153	26.29	16.13173291	14.93893865
137	"60379"	"60379-r"	"60379-r.1"	459.1	"9/2/22"	""	NA	"Naomichelys sp."	"ectotherm"	"ES"	"Terrestrial Turtle"	"osteoscute fragment"	""	"bone"	291.8	0.635591374	NA	NA	2	2.1	NA	"60379-r1"	0.2918	1472	17.552	12.41848659	14.91338284
13	"60386"	"60386-a"	"60386-a.2"	574	"1/22/22"	""	NA	"Glyptops sp."	"ectotherm"	"EI"	"Aquatic Turtle"	"osteoscute fragment"	""	"bone"	NA	0	NA	NA	2	2.1	NA	"60386-a2"	0.4586	2518	31.554	12.9862844	12.76557415
15	"60386"	"60386-b"	"60386-b.1"	470.7	"1/22/22"	"Small amount of material was reluctant to empty into the vial. Eventually I got it all, but tiny amounts of material might have been lost."	NA	"Glyptops sp."	"ectotherm"	"EI"	"Aquatic Turtle"	"osteoscute fragment"	""	"bone"	285.7	0.606968345	NA	NA	1	1.2	NA	"60386-b1"	0.2857	1936	24.013	15.30563055	13.12658347
97	"60391"	"60391-a"	"60391-a.1"	365.7	"4/28/22"	"Drill site nearest base of tooth. See lab notebook. Dentin contamination of sample should be minor. Great care was taken."	NA	"Large Theropoda"	"endotherm"	"ES"	"Large Theropod"	"tooth fragment"	"serial"	"enamel"	463.5	1.267432322	NA	NA	1	1.3	NA	"60391-a1"	0.4635	3220	40.036	16.11642082	15.09799283
98	"60391"	"60391-a"	"60391-a.2"	383.6	"4/28/22"	"Drill site is middle of 3 sites sampled along length of tooth. See lab notebook for sketch. Dentin contamination of sample should be minor. Great care was taken. 5/31/22 - Ag3PO4 did not xtalize after 20 hours in oven. Returned to oven for several more hours (see lab notebook)."	NA	"Large Theropoda"	"endotherm"	"ES"	"Large Theropod"	"tooth fragment"	"serial"	"enamel"	408.4	1.064650678	NA	NA	1	1.3	NA	"60391-a2"	0.4084	2802	33.624	15.44452559	14.58912521
99	"60391"	"60391-a"	"60391-a.3a"	344.4	"4/28/22"	"Drill site nearest tip of tooth. Site 3 of 3. Enough material produced to make 2 samples from this site. Minimal dentin. "	NA	"Large Theropoda"	"endotherm"	"ES"	"Large Theropod"	"tooth"	"serial"	"enamel"	378.7	1.099593496	NA	NA	1	1.3	NA	"60391-a3a"	0.3787	2571	30.87	15.31533226	14.34743249
100	"60391"	"60391-a"	"60391-a.3b"	390.7	"4/28/22"	"Drill site nearest tip of tooth. Site 3 of 3. Enough material produced to make 2 samples from this site. This sample might need to be crushed prior to dissolution. Relatively large fragments of enamel. Minimal dentin. "	NA	"Large Theropoda"	"endotherm"	"ES"	"Large Theropod"	"tooth"	"serial"	"enamel"	514.9	1.317890965	NA	NA	1	1.3	NA	"60391-a3b"	0.5149	3490	43.978	16.02465288	14.87010363
119	"60406"	"60406-a"	"60406-a.1"	498	"5/24/22"	"Thin enamel. Some dentin inevitably included.  "	NA	"Theropoda (small)"	"endotherm"	"ES"	"Small Theropod"	"tooth"	""	"enamel"	592.8	1.190361446	NA	NA	1	1.3	NA	"60406-a1"	0.5728	3726	46.878	15.36906261	14.22288194
