"specimen","taxon","diet","eco_type","tissue","age","formation","strat_mbr","site","continent","lat","lng","paleolat","paleolng","ref","d18O","n","SD","SE"
"","Achelousaurus horneri","H","ornithischian","Dinosaur bone","Campanian","","","Montana","United Sates","","","54.8 (+ 7.6/− 6.8)",NA,"Barrick et al., 1996",15.2865853658537,82,3.27424526013048,0.361579900819542
"2016-13-Macro-1","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",19.725,4,0.512347538297981,0.25617376914899
"2016-13-Macro-10","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.0666666666667,6,0.823812276351031,0.336319953483452
"2016-13-Macro-11","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.175,4,0.377491721763538,0.188745860881769
"2016-13-Macro-2","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",17.9833333333333,6,0.803533861555732,0.328041325309954
"2016-13-Macro-3","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",19.4333333333333,3,1.36503968196288,0.788106027835793
"2016-13-Macro-4","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.05,4,0.932737905308882,0.466368952654441
"2016-13-Macro-5","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",19.0666666666667,3,0.321455025366432,0.185592145427668
"2016-13-Macro-6","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.9333333333333,3,0.305505046330388,0.176383420737639
"2016-13-Macro-7","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.7,3,0.4,0.230940107675851
"2016-13-Macro-8","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.6333333333333,3,0.416333199893227,0.240370085030933
"2016-13-Macro-9","Naomichelys speciosa","","terrestrial turtle","bone","Aptian-Albian","Holly Creek","","Holly Creek","North America","","","",NA,"Suarez et al., 2020",18.9666666666667,3,0.723417813807024,0.417665469538056
"AUS 240","Theropoda","C","theropod","Dinosaur bulk tooth","Late Maastrichtian","","","Ausseing","France","","","34.7 (+ 3.7/− 3.4)",NA,"Amiot et al., 2006",18.2,1,NA,NA
"BG52","Goniopholis sp.","C","croc","Crocodilian tooth enamel","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",22.1,1,NA,NA
"BG53","Pholidosaurus sp.","C","croc","Crocodilian tooth enamel","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",22.4,1,NA,NA
"BG55","?Pleurosternon sp.","?","aquatic turtle","Turtle osteoscute","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",21.6,1,NA,NA
"BG56","?Tretosternon sp.","?","","Turtle osteoscute","Berriasian","","","Cherves-de-Cognac","France","","","32.6 (+ 5.5/− 4.8)",NA,"Amiot et al., 2006",23,1,NA,NA
