"","X","Specimen.ID","OMNH.Item..","Taxon","Habitat","Eva_.Sens","eco_type","Element.type","samp_type","d18O..VSMOW.","d18O","n","SD","SE","d18Owater"
"1",1,"27858-c","27858","Lepisosteids","aquatic","EI","Fish","tooth","bulk",13.25065404,13.25065404,1,NA,NA,-9.56009071287746
"2",2,"27858-d","27858","Lepisosteids","aquatic","EI","Fish","tooth","bulk",15.55814106,15.55814106,1,NA,NA,-7.25260369287746
"3",3,"27858-f","27858","Lepisosteids","aquatic","EI","Fish","tooth","bulk",12.10134695,12.10134695,1,NA,NA,-10.7093978028775
"4",4,"27858-h","27858","Lepisosteids","aquatic","EI","Fish","tooth","bulk",14.12119185,14.12119185,1,NA,NA,-8.68955290287746
"5",5,"27873-a","27873","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",14.47,14.7533333333333,3,0.270985854489368,0.156453756036018,-8.05741141954416
"6",6,"27873-b","27873","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",14.93,13.77,3,3.2016870552882,1.84849488323158,-9.04074475287746
"7",7,"27873-c","27873","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",12.99,12.99,1,NA,NA,-9.82074475287746
"8",8,"27873-d","27873","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",15.57,15.57,1,NA,NA,-7.24074475287746
"9",9,"27873-e","27873","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",15.12,15.42,2,0.42426406871193,0.300000000000001,-7.39074475287746
"10",10,"27873-j","27873","Lepisosteids","aquatic","EI","Fish","ganoid scale","bulk",15.65,15.65,1,NA,NA,-7.16074475287746
"11",11,"60378-a","60378","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",14.84541451,14.84541451,1,NA,NA,-7.3061313449
"12",12,"60379-a","60379","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",13.29354208,13.29354208,1,NA,NA,-8.8735224992
"13",13,"60379-b","60379","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",13.77083135,13.77083135,1,NA,NA,-8.3914603365
"14",14,"60379-c","60379","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.06762098,14.06762098,1,NA,NA,-8.0917028102
"15",15,"60379-d","60379","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",15.02865964,15.02865964,1,NA,NA,-7.1210537636
"16",16,"60379-e","60379","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.1069935,14.1069935,1,NA,NA,-8.051936565
"17",17,"60379-h","60379","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.30036154,14.30036154,1,NA,NA,-7.8566348446
"18",18,"60379-i","60379","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.15635209,14.15635209,1,NA,NA,-8.0020843891
"19",19,"60379-j","60379","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.81588951,14.81588951,1,NA,NA,-7.3359515949
"20",20,"60379-m","60379","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.93893865,14.93893865,1,NA,NA,-7.2116719635
"21",21,"60379-r","60379","Naomichelys sp.","terrestrial","ES","Terrestrial Turtle","osteoscute fragment","",14.91338284,14.91338284,1,NA,NA,-7.2374833316
"22",22,"60386-a","60386","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",12.76557415,12.76557415,1,NA,NA,-9.4067701085
"23",23,"60386-b","60386","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",13.12658347,13.12658347,1,NA,NA,-9.0421506953
"24",24,"60391-a","60391","Allosauroid","terrestrial","ES","Large Theropod","tooth fragment","serial",15.09799283,14.72616354,4,0.327206602691329,0.163603301345665,-4.54680943297297
"25",25,"60406-a","60406","Maniraptorans","terrestrial","ES","Small Theropod","tooth","",14.22288194,14.22288194,1,NA,NA,-5.05009103297297
"26",26,"60406-b","60406","Maniraptorans","terrestrial","ES","Small Theropod","tooth","",17.55405804,17.55405804,1,NA,NA,-1.71891493297297
"27",27,"60406-c","60406","Maniraptorans","terrestrial","ES","Small Theropod","tooth","",13.71248653,13.71248653,1,NA,NA,-5.56048644297297
"28",28,"60406-e","60406","Maniraptorans","terrestrial","ES","Small Theropod","tooth","",23.22319825,23.22319825,1,NA,NA,3.95022527702703
"29",29,"60422-a","60422","Sauropods","terrestrial","","Sauropoda","tooth","",15.99889522,15.99889522,1,NA,NA,-4.94584162210526
"30",30,"60423-a","60423","Sauropods","terrestrial","","Sauropoda","tooth","",18.99983903,18.99983903,1,NA,NA,-1.94489781210526
"31",31,"60427-a","60427","Sauropods","terrestrial","ES","Sauropoda","tooth","serial",16.78534513,16.5326545,3,0.287448218898903,0.16595830655936,-4.41208234210526
"32",32,"60430-b","60430","Ornithischians","terrestrial","ES","Ornithischian","tooth","",19.53171901,19.53171901,1,NA,NA,-1.41301783210526
"33",33,"60433-a","60433","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",17.40248992,17.40248992,1,NA,NA,-5.6599582656
"34",34,"60433-b","60433","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",12.82166679,12.82166679,1,NA,NA,-9.4162332322
"35",35,"60433-c","60433","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",13.22586145,13.22586145,1,NA,NA,-9.084793611
"36",36,"60433-e","60433","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",10.26975838,10.26975838,1,NA,NA,-11.5087981284
"37",37,"60433-f","60433","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",9.753627578,9.753627578,1,NA,NA,-11.93202538604
"38",38,"60433-g","60433","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","",13.38731078,13.38731078,1,NA,NA,-8.9524051604
"39",39,"60442-a","60442","Neosuchian G","Semi-aquatic","EI","Croc G","tooth","serial",13.02709329,13.046698835,2,0.0277264276367162,0.0196055450000001,-9.2317069553
"40",40,"60444-a","60444","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",14.16793479,14.16793479,1,NA,NA,-7.9903858621
"41",41,"60447-a","60447","Glyptops sp.","semi-aquatic","EI","Aquatic Turtle","osteoscute fragment","",14.42850063,14.42850063,1,NA,NA,-7.7272143637
"42",42,"60482-a","60482","Sauropods","terrestrial","ES","Sauropoda","tooth","",21.1,21.78768467,2,0.972532986950066,0.687684669999999,0.842947827894737
"43",43,"60484-a","60484","Sauropods","terrestrial","ES","Sauropoda","tooth","",18.59571597,18.59571597,1,NA,NA,-2.34902087210526
